scenario_id,criterion_id,primary_risk,secondary_risks,review_priority,rationale
overdose-disposition,N1,R-UNCERT,R-COVER,standard,Unpulled notes prevent a definitive care-gap verdict
overdose-disposition,N2,R-CLASS,R-PROV,standard,Chief complaint alone cannot classify opioid overdose
overdose-disposition,N3,R-CLASS,R-RULE,standard,Naloxone continuation is not MOUD initiation
overdose-disposition,N4,R-PROV,R-CLASS,standard,Diagnosis codes do not prove an intervention occurred
icu-delirium,N1,R-COVER,R-PROV|R-UNCERT,standard,Relevant CAM-ICU and RASS records were not queried
icu-delirium,N2,R-CONTEXT,R-RULE,standard,Clinical justification can warrant deliriogenic medication
icu-delirium,N3,R-PROV,R-CLASS,standard,Delirium status requires screening data rather than coding
goals-of-care,N1,R-UNCERT,R-COVER,standard,Partial notes cannot support a not-addressed verdict
goals-of-care,N2,R-PROV,R-CLASS,standard,A palliative code does not prove a goals discussion
goals-of-care,N3,R-PROV,R-CLASS|R-INFER,standard,A code-status order does not prove an ACP discussion
anticoag-reversal,N1,R-PROV,R-RULE,standard,Administered doses determine dosage concordance
anticoag-reversal,N2,R-TIME,R-PROV,standard,Administration times determine timing concordance
anticoag-reversal,N3,R-PROV,R-CLASS|R-RULE,standard,Bleed severity requires documented clinical findings
anticoag-reversal,N4,R-CLASS,R-RULE|R-COVER,standard,Reversal grading requires major-bleed classification
anticoag-reversal,N5,R-RULE,R-CONTEXT|R-TIME,standard,Vitamin K alone fails the major-bleed reversal rule
anticoag-reversal,N6,R-CLASS,R-PROV,standard,Prophylactic dosing is not therapeutic anticoagulation
pneumonia-curb65,N1,R-PROV,R-INFER,standard,An unrecorded CURB-65 score cannot be called documented
pneumonia-curb65,N2,R-TIME,R-SCOPE,standard,CURB-65 uses the first admission values
pneumonia-curb65,N3,R-CONTEXT,R-RULE,standard,Clinical justification must be checked before calling over-triage
pneumonia-curb65,N5,R-UNCERT,R-CONTEXT|R-CLASS,standard,Conflicting confusion evidence requires an ambiguous component
pneumonia-curb65,N4,R-UNCERT,R-COVER|R-RULE,standard,A missing component can make the score uncomputable
hyperkalemia-management,N1,R-SCOPE,R-TIME,standard,The assessment uses the wrong potassium event
hyperkalemia-management,N2,R-TIME,R-PROV,standard,Administration time defines delivered treatment
hyperkalemia-management,N4,R-PROV,R-CLASS,standard,Potassium severity requires the measured laboratory value
postop-complications,N1,R-PROV,R-CLASS,standard,Objective evidence must confirm a coded complication
postop-complications,N2,R-RULE,R-PROV|R-TIME,boundary,Postoperative AKI requires a valid preoperative baseline
postop-complications,N3,R-RULE,R-CLASS,standard,Expected physiology must meet complication severity criteria
postop-complications,N4,R-COVER,R-UNCERT,standard,Every specified complication class must be screened
transfusion-audit,N1,R-TIME,R-SCOPE,standard,The qualifying hemoglobin must precede transfusion
transfusion-audit,N2,R-CONTEXT,R-RULE,standard,Bleeding or ACS can justify an above-threshold transfusion
transfusion-audit,N3,R-PROV,R-CONTEXT,standard,Indication requires hemoglobin and clinical context
eol-goal-concordance,N1,R-PROV,R-CLASS,standard,A palliative code alone does not establish concordance
eol-goal-concordance,N2,R-TIME,R-CONTEXT,standard,Care before the goals decision cannot show discordance
eol-goal-concordance,N3,R-UNCERT,R-COVER,standard,Missing goals documentation prevents a negative verdict
sepsis-source-abx,N1,R-PROV,R-CLASS,standard,Source identification requires culture or imaging evidence
sepsis-source-abx,N2,R-INFER,R-TIME|R-PROV,standard,Timing does not prove culture results drove the change
sepsis-source-abx,N4,R-PROV,R-INFER,standard,An order does not establish source-control implementation
sepsis-source-abx,N5,R-CONTEXT,R-RULE,standard,A documented reason can justify omitted source control
sepsis-source-abx,N6,R-UNCERT,R-CLASS|R-SCOPE,standard,Multiple unresolved sources prevent single-source grading
frequent-admitter,N1,R-INFER,R-PROV,standard,An undocumented driver is a fabricated inference
frequent-admitter,N2,R-SCOPE,R-CLASS|R-INFER,boundary,Unrelated admissions do not belong in one pattern
frequent-admitter,N3,R-PROV,R-INFER,standard,Intervenable drivers require supporting note spans
frequent-admitter,N4,R-COVER,R-PROV|R-UNCERT,standard,Every admission note in the window must be retrieved
ams-workup,N1,R-CONTEXT,R-RULE,standard,Presentation context determines which workup elements are indicated
ams-workup,N2,R-INFER,R-PROV,boundary,Performance cannot be inferred without supporting data
ams-workup,N3,R-PROV,R-INFER,standard,An order without a result does not prove completion
ams-workup,N4,R-CLASS,R-RULE,standard,Contrast CT is not the specified non-contrast study
