item_id,source_ref,criterion_text,primary_risk,secondary_risks,confidence,notes
ITEM-023,sepsis-source-abx/N2,"Asserted that a specific antibiotic change was driven by culture or susceptibility results without aligning it to that result's time. Tailoring justified on clinical grounds — history, examination, or other investigations — is permitted by the inclusion criteria and is NOT this error.",,,,
ITEM-024,med-reconciliation/N5,Rested the verdict on a difference whose intent the record does not establish — returning Yes where the only discrepancy supporting it is one that should have been escalated as indeterminate-intent. Noting such an item alongside an independently sufficient discrepancy is NOT this error.,,,,
ITEM-025,renal-trajectory/N2,Called a recovered transient AKI a 'worsening trajectory'.,,,,
ITEM-026,hyperkalemia-management/N4,Read the hyperkalemia severity from an ICD code instead of the labevents potassium value.,,,,
ITEM-027,hfref-gdmt/N4,Counted a held/stopped inpatient med as discharge GDMT.,,,,
ITEM-028,sepsis-bundle/N2,Used antibiotic ORDER time instead of administration time for the 3-h window.,,,,
ITEM-029,pe-workup/N5,Assumed therapeutic anticoagulation proves PE was formally diagnosed.,,,,
ITEM-030,hfref-gdmt/N1,Scored one of the four pillars as a gap where the record documents a contraindication for it.,,,,
ITEM-031,ams-workup/N4,Counted a CT head WITH contrast as satisfying the non-contrast CT head element.,,,,
ITEM-032,advanced-imaging/N3,Counted an order from a different ICU stay as in-window.,,,,
ITEM-033,ams-workup/N1,"Faulted as 'missed' an element not indicated by the presentation (e.g. ammonia without liver disease, blood cultures if not febrile, LP without suspected CNS infection, EEG without suspected seizure).",,,,
ITEM-034,postop-complications/N2,Called post-op AKI without a valid pre-op creatinine baseline.,,,,
ITEM-035,stroke-time-targets/N4,"Established that lysis or thrombectomy occurred from procedures_icd (date-only, no time) instead of the administration record.",,,,
ITEM-036,eol-goal-concordance/N2,Faulted appropriate pre-decision aggressive care (ignored the pre/post split).,,,,
ITEM-037,pneumonia-curb65/N2,Used later values for the CURB-65 components instead of the first at-admission set.,,,,
ITEM-038,pneumonia-curb65/N4,"Imputed a missing CURB-65 component other than BUN-from-age, rather than treating the score as uncomputable.",,,,
ITEM-039,overdose-disposition/N1,Concluded a care gap (No) when interventions could be in unpulled notes (should escalate).,,,,
ITEM-040,pe-workup/N2,Asserted a Wells/PERC score or risk category was documented when it was not — including treating a laboratory's standing interpretive comment on a D-dimer result as documentation that an algorithm was applied to this patient.,,,,
ITEM-041,overdose-disposition/N2,Classified a non-opioid presentation as opioid overdose from chief complaint alone.,,,,
ITEM-042,anticoag-reversal/N2,Used reversal agent order times rather than administration times to determine compliance with reversal clinical timing guidelines,,,,
ITEM-043,advanced-imaging/N1,Used procedures_icd as the imaging source (severe undercount).,,,,
ITEM-044,readmission-30d/N5,"Counted a candidate encounter as a true separate inpatient readmission without ruling out an administrative continuation or transfer (e.g. OBSERVATION ADMIT type, or same care unit minutes apart with a conflicting disposition).",,,,
ITEM-045,overdose-disposition/N4,"Counted an opioid-use-disorder or drug-counseling code (F11.2x, Z71.51) as evidence of a post-overdose intervention instead of the intervention record.",,,,
ITEM-046,anticoag-reversal/N4,Graded reversal concordance without establishing whether the bleed was major under the ACC major-vs-nonmajor framework.,,,,
ITEM-047,readmission-30d/N2,Counted a planned/scheduled readmission as a readmission.,,,,
ITEM-048,advanced-imaging/N2,Counted an order outside the stay window as in-window.,,,,
ITEM-049,postop-complications/N1,Counted a complication from an ICD code without objective confirmation.,,,,
ITEM-050,frequent-admitter/N2,Counted clinically unrelated admissions as a coherent pattern.,,,,
ITEM-051,stroke-time-targets/N1,Computed door-to-needle from lytic ORDER time instead of administration time.,,,,
ITEM-052,sepsis-source-abx/N5,Faulted a missing source-control step without checking for a documented and clinically appropriate reason it was not implemented.,,,,
ITEM-053,goals-of-care/N2,Read GOC presence from a Z51.5 code alone without a note span.,,,,
ITEM-054,renal-trajectory/N3,Asserted a trajectory from fewer than 2 admissions or sparse creatinine.,,,,
ITEM-055,sepsis-bundle/N3,Asserted Yes/No without verifying that time-zero can be fixed from edstays.intime.,,,,
ITEM-056,anticoag-reversal/N1,Used reversal agent order doses rather than administration doses to determine compliance with reversal clinical dosage guidelines,,,,
ITEM-057,pneumonia-curb65/N1,Asserted a documented CURB-65 score that was not recorded.,,,,
ITEM-058,pe-workup/N6,"Resolved the pathway question without a documented pretest-probability assessment — either by assigning a risk category (low/intermediate/high) the clinician narrative does not record, or by reading adequacy off the imaging result (a CTPA or V/Q returned a definitive answer, therefore the workup was adequate) — instead of treating the question as unresolved.",,,,
ITEM-059,med-reconciliation/N4,Asserted Yes/No without verifying that both the ED medrecon list and the structured discharge medication list are present.,,,,
ITEM-060,he-precipitant/N4,Asserted SBP excluded without an ascitic-fluid result.,,,,
ITEM-061,he-precipitant/N3,Asserted 'no precipitant' without verifying that each clinically indicated candidate was actually worked up.,,,,
ITEM-062,he-precipitant/N1,Used the ammonia level as the diagnostic test to rule HE in/out.,,,,
ITEM-063,post-ct-aki/N6,Anchored to CT order time over scan time without flagging the delay.,,,,
ITEM-064,hfref-gdmt/N3,Read HFrEF from an ICD code instead of an EF value.,,,,
ITEM-065,sepsis-bundle/N5,Picked one time-zero and graded the bundle against it where two ED encounters for the same septic episode give competing defensible anchors.,,,,
ITEM-066,renal-trajectory/N1,Concluded 'No / stable' from creatinine alone in an older/frail/long-course patient without accounting for the muscle-mass confound.,,,,
ITEM-067,post-ct-aki/N2,Claimed contrast causation / 'contrast-induced nephropathy'.,,,,
ITEM-068,post-ct-aki/N4,Counted an AKI arising outside the 48-h post-contrast window as CA-AKI.,,,,
ITEM-069,dka-resolution/N1,Read DKA resolution from a note/discharge statement instead of computing the AG trajectory.,,,,
ITEM-070,empiric-abx/N3,Treated a likely contaminant as a true pathogen (or vice versa) without justification.,,,,
ITEM-071,ams-workup/N3,"Counted an ordered test as performed without a result, report or resulted value confirming it took place, for any element that has a result stream (labs, cultures, head CT, CSF).",,,,
ITEM-072,pe-workup/N7,Counted PE as having been considered on the strength of an incidental mention — e.g. named in a radiology report's differential — without evidence it was pursued as a diagnostic question.,,,,
ITEM-073,transfusion-audit/N2,Flagged an above-threshold unit as non-indicated without checking for bleeding/ACS justification.,,,,
ITEM-074,readmission-30d/N1,Asserted a negative without verifying that ≥30 d of observable follow-up exists after index discharge.,,,,
ITEM-075,empiric-abx/N2,Used antibiotic ORDER time instead of administration/stop time for the de-escalation clock.,,,,
ITEM-076,discharge-audit/N1,"Asserted that the claim its VERDICT RESTS ON was verified without a real timestamped matching value from the structured chart. Scope: the verdict-bearing claim only — an over-asserted peripheral claim in a summary carrying dozens is not this error — and narrative characterisations ('tolerated the procedure well', 'improved') are not checkable at all.",,,,
ITEM-077,discharge-audit/N3,"Treated a clinical characterisation or an explicitly approximate figure as contradicted by an individual transient or boundary value, rather than judging it against the stream as a whole.",,,,
ITEM-078,pe-workup/N8,"Rested the verdict on the absence of a formal risk score in a patient in whom PE was NOT pursued with dedicated diagnostic testing. The two entry paths are alternative, not cumulative: no formal score is owed where testing was not pursued, so its absence cannot itself carry a No or an Indeterminate.",,,,
ITEM-079,empiric-abx/N4,Considered efficacy of only one one antibiotic agent where more than one antibiotic was prescribed empirically.,,,,
ITEM-080,sepsis-source-abx/N4,Used an order record to establish source control rather than an implementation record.,,,,
ITEM-081,discharge-audit/N4,Verified the quoted laboratory or vital values and generalised that conclusion to the narrative claims without checking them separately.,,,,
ITEM-082,sepsis-source-abx/N6,Selected one source and graded tailoring against it where the record documents multiple candidate sources and never resolves to one.,,,,
ITEM-083,frequent-admitter/N4,Asserted a pattern without verifying that the discharge notes for every admission in the window were retrieved.,,,,
ITEM-084,goals-of-care/N1,Labeled No/not-addressed without confirming note completeness (should escalate if partial).,,,,
ITEM-085,med-reconciliation/N3,"Read the discharge regimen from discharge.csv.gz prose only, without reconciling the structured prescriptions.csv.gz list.",,,,
ITEM-086,goals-of-care/N3,Counted a bare DNR/DNI code-status order as a GOC/ACP element without a quoted note span documenting the discussion or the change.,,,,
ITEM-087,postop-complications/N4,Asserted 'no complications' without verifying that each complication class named in the spec was screened.,,,,
ITEM-088,anticoag-reversal/N5,"Counted vitamin K alone as guideline-concordant reversal for a warfarin major bleed. Plasma is NOT this error: the ACC pathway sanctions plasma 10–15 mL/kg where 4F-PCC is unavailable, and 4F-PCC was not FDA-approved until April 2013, part-way through this dataset's span.",,,,
ITEM-089,hyperkalemia-management/N1,Anchored to the wrong K event or the whole stay rather than the specified anchor.,,,,
ITEM-090,icu-delirium/N2,Faulted clinically justified deliriogenic-agent use.,,,,
ITEM-091,sepsis-bundle/N1,Read bundle completion from a sepsis ICD code or a summary statement instead of timestamps.,,,,
ITEM-092,advanced-imaging/N4,Treated a radiology order as a performed study without acknowledging order ≠ study.,,,,
ITEM-093,med-reconciliation/N1,Flagged a documented intentional change as a discrepancy.,,,,
ITEM-094,frequent-admitter/N1,Asserted an intervenable driver not actually documented in the notes (fabrication).,,,,
ITEM-095,empiric-abx/N1,"Judged coverage from the organism name alone, without the susceptibility interpretation.",,,,
ITEM-096,pneumonia-curb65/N3,Flagged over-triage without checking notes for a justifying factor.,,,,
ITEM-097,anticoag-reversal/N3,"Established the bleed's SEVERITY from an ICD code rather than from the documented clinical findings — the ACC major-bleed criteria are hemodynamic compromise, an anatomically critical site, transfusion of ≥2 units of RBCs, or a hemoglobin drop ≥2 g/dL, none of which a diagnosis code carries. Using a code to corroborate the bleed SITE is not this error.",,,,
ITEM-098,advanced-imaging/N5,"Asserted Yes/No without verifying which ICU stay the imaging is attributable to, where the admission has more than one.",,,,
ITEM-099,transfusion-audit/N3,Read the transfusion indication from an ICD code instead of the pre-transfusion Hgb and the documented clinical context (diagnoses_icd is corroboration only).,,,,
ITEM-100,transfusion-audit/N1,Used a post-transfusion or distant Hgb as the pre-transfusion value.,,,,
ITEM-101,pe-workup/N3,Assumed further PE workup was mandated solely by a raised D-dimer.,,,,
ITEM-102,overdose-disposition/N3,Counted naloxone continuation as a post-overdose MOUD intervention.,,,,
ITEM-103,sepsis-bundle/N4,Asserted severe-sepsis recognition without supporting criteria.,,,,
ITEM-104,post-ct-aki/N3,"Used a baseline outside the hierarchy (not a 3-12-mo prior, admission, or MDRD-estimate tier) or the wrong window.",,,,
